["CPU", "68.80743", "50.27303", "69.66014", "41.968487", "44.12216", "51.483482", "45.337208"]
["MEMORY_TOTAL", "8.5 GB", "8.5 GB", "8.5 GB", "8.5 GB", "8.5 GB", "8.5 GB", "8.5 GB"]
["MEMORY_USED", "6.6 GB", "6.6 GB", "6.5 GB", "6.4 GB", "6.5 GB", "6.6 GB", "6.7 GB"]
["BATTERY", "1", "1", "1", "1", "1", "1", "1"]
["DISK_READ", "56417228", "56443158", "57325467", "57330711", "57664604", "58375262", "58053613"]
["NETWORK_TRANSMIT", "1726446486", "1726449109", "1726566209", "1726568617", "1726581451", "1726740336", "1726753730"]
["BOOTTIME", "480472 hours", "480472 hours", "480472 hours", "480472 hours", "480472 hours", "480472 hours", "480472 hours"]
["UPTIME", "377 hours", "377 hours", "377 hours", "377 hours", "377 hours", "378 hours", "378 hours"]
["TOTAL_DISK_WRITE", "32348956", "32478924", "33037083", "33041877", "33213361", "33547132", "33338323"]
["TOTAL_DISK_READ", "56418056", "56444271", "57326218", "57330729", "57664619", "58375282", "58053631"]
["NETWORK_RECEIVED", "42054380114", "42054381444", "42054521320", "42054522050", "42054535992", "42054872918", "42054885238"]
["DISK_WRITE", "32451953", "32478399", "33036576", "33041859", "33213345", "33547115", "33338305"]
